org_id,organization,twin_cities_base,primary_role,secondary_role,advocacy_service_orientation,faith_affiliation,primary_community_scope,registry_status,website,source_basis,status_notes
TC023,Missions Inc. Programs,,SER,,5,none/secular,broad population including immigrants,probably_eligible,https://www.missionsinc.org,Wilder 2024 landscape scan,Broader service organization
TC024,Sakan,,DEV,SER,5,none/secular,immigrant/refugee communities,eligible,https://sakanresources.org/ABOUT_US,Wilder 2024 landscape scan,Housing/homeownership education
TC025,Twin Cities Habitat for Humanity,St. Paul,DEV,SER,5,none/secular,broad population including immigrants,probably_eligible,https://www.tchabitat.org,Wilder 2024 landscape scan,Immigrant relevance may be program-specific
TC026,Volunteers of America Minnesota and Wisconsin,,SER,,5,none/secular,broad population including immigrants,probably_eligible,https://www.voamnwi.org/,Wilder 2024 landscape scan,Broad social services
TC027,ZACAH,,FAI,SER,5,faith-rooted but operationally secular,refugees/immigrant families,eligible,https://www.zacah.org,Wilder 2024 landscape scan,Housing and emergency support
TC028,African Career Education and Resources Inc. (ACER),Brooklyn Park/Brooklyn Center,ADV,DEV,2,none/secular,African immigrant/BIPOC communities,eligible,https://www.acerinc.org/about,Wilder 2024 landscape scan,Advocacy and community development
TC029,African Community Services,,CBO,SER,5,none/secular,African immigrants/refugees,eligible,https://africancs.org/,Wilder 2024 landscape scan,Community services
TC030,African Development Center of Minnesota,Minneapolis,DEV,SER,5,none/secular,African immigrants,eligible,https://www.adcminnesota.org/,Wilder 2024 landscape scan,Economic development and housing
TC031,African Economic Development Solutions (AEDS),St. Paul,DEV,SER,5,none/secular,African immigrants,eligible,https://www.aeds-mn.org/about,Wilder 2024 landscape scan,Economic development and homeownership
TC032,AFDN,,CBO,SER,5,none/secular,African immigrant/refugee communities,probably_eligible,https://afdnminnesota.org/,Wilder 2024 landscape scan,Housing and education support
TC033,African Immigrants Community Services (AICS),,CBO,SER,5,none/secular,African immigrants/refugees,eligible,https://aicsmn.org/,Wilder 2024 + MN DHS Resettlement Network,Current resettlement-network provider
TC034,Al-Maa'uun,Minneapolis,FAI,SER,5,Muslim,immigrant and low-income families,eligible,https://www.almaauun.org/,Wilder 2024 landscape scan,Housing food and emergency assistance
TC035,Arrive Ministries,,FAI,RES,4,Christian,refugees/immigrants,eligible,https://arriveministries.org/,Wilder 2024 + MN DHS Resettlement Network,Christian resettlement and immigration legal services
TC036,Catholic Charities Twin Cities,Twin Cities,FAI,SER,5,Christian,broad low-income population including immigrants,probably_eligible,https://cctwincities.org/,Wilder 2024 landscape scan,Broad Catholic social-service organization
TC037,CommonBond Communities,St. Paul,DEV,SER,5,none/secular,broad population including immigrants,probably_eligible,https://commonbond.org/,Wilder 2024 landscape scan,Housing and youth services
TC038,Comunidades Latinas Unidas En Servicio (CLUES),St. Paul/Minneapolis,CBO,SER,4,none/secular,Latine immigrants/families,eligible,https://clues.org/,Wilder 2024 landscape scan,Major culturally specific service organization
TC039,Darul Uloom Center,,FAI,SER,4,Muslim,Muslim immigrant families,eligible,http://www.darululoomcenter.org/,Wilder 2024 landscape scan,Immigration interpretation citizenship and voter education
TC040,Igbo Women League of Minnesota,,CBO,SER,5,none/secular,Igbo/African immigrant women and families,probably_eligible,http://www.sussmike.com/Home.aspx,Wilder 2024 landscape scan,Ethnocultural women/family services
TC041,International Institute of Minnesota,St. Paul,RES,SER,5,none/secular,immigrants/refugees/asylees,eligible,https://iimn.org/,Wilder 2024 + MN DHS Resettlement Network,Major resettlement and immigrant-service organization
TC042,Isuroon,Minneapolis,CBO,ADV,3,none/secular,Somali women/families,eligible,https://isuroon.org/,Wilder 2024 landscape scan,Service and advocacy organization
TC043,Minnesota African Women's Association,,CBO,SER,5,none/secular,African immigrant women/girls,eligible,http://mawanet.org/index.php?submenu=home&src=,Wilder 2024 landscape scan,Women/girls services and leadership
TC044,Minnesota Council of Churches - Refugee Services,Minneapolis,FAI,RES,4,Christian,refugees/asylees/newcomers,eligible,https://www.mnchurches.org/what-we-do/refugee-services,Wilder 2024 + MN DHS Resettlement Network,Ecumenical refugee services
TC045,Neighborhood House,St. Paul,SER,CBO,5,none/secular,immigrant/refugee/low-income families,eligible,https://neighborhoodhousemn.org/,Wilder 2024 landscape scan,Longstanding immigrant/refugee service provider
TC046,New American Development Center,Minneapolis,DEV,SER,5,none/secular,immigrant/refugee communities,eligible,https://www.nadcmn.org/,Wilder 2024 landscape scan,Economic development and housing
TC047,Oromo Community of Minnesota,,CBO,ADV,3,none/secular,Oromo community,eligible,https://oromomn.org/,Wilder 2024 landscape scan,Community service and advocacy
TC048,Our Saviour's Community Services,Minneapolis,FAI,SER,5,Christian-rooted,immigrants/refugees and broader population,probably_eligible,https://oscs-mn.org/,Wilder 2024 landscape scan,Education and housing
TC049,PRISM,,SER,,5,none/secular,broad population including immigrants,probably_eligible,https://prismmpls.org/,Wilder 2024 landscape scan,Basic-needs organization
TC050,Project for Pride in Living,Minneapolis,SER,DEV,5,none/secular,broad population including immigrants,probably_eligible,https://www.ppl-inc.org/,Wilder 2024 landscape scan,Housing education and employment
TC051,Somali Community Resettlement Services,,RES,CBO,5,none/secular,Somali refugees/newcomers,eligible,https://www.somalcrs.org/,Wilder 2024 landscape scan,Resettlement and newcomer support
TC052,Somali Success,,CBO,SER,5,none/secular,Somali immigrant/refugee families,eligible,https://www.somalisuccess.org/,Wilder 2024 landscape scan,Education and housing support
TC053,YMCA of the North - Immigrant and Refugee Support,Minneapolis,RES,SER,5,none/secular,immigrants/refugees/new arrivals,eligible,https://www.ymcanorth.org/impact/immigrant_refugee_support,Wilder 2024 + MN DHS Resettlement Network,Program-specific immigrant/refugee support
TC054,Alight,Minneapolis,RES,SER,5,none/secular,refugees/newcomers,eligible,https://wearealight.org/,MN DHS Resettlement Network,Current resettlement provider
TC055,CAPI USA,Minneapolis/Brooklyn Center,SER,RES,5,none/secular,immigrants/refugees/low-income communities,eligible,https://www.capiusa.org/,MN DHS Resettlement Network,Current resettlement-network provider
TC056,Karen Organization of Minnesota,Roseville,CBO,SER,4,none/secular,"Karen, Karenni, Mon and other refugee communities",eligible,https://mnkaren.org/,MN DHS Resettlement Network,Culturally specific refugee organization
TC057,Immigrant Law Center of Minnesota,St. Paul,LEG,ADV,2,none/secular,low-income immigrants/refugees,eligible,https://www.ilcm.org/,MN DHS + legal-service directories,Immigration legal services and advocacy
TC058,Mid-Minnesota Legal Aid,Minneapolis,LEG,SER,3,none/secular,low-income immigrants/refugees,eligible,https://mylegalaid.org/,MN DHS Resettlement Network,Immigration legal assistance
TC059,Minnesota African Women Coalition,Brooklyn Center,CBO,ADV,3,none/secular,African immigrant women/families,eligible,,MN DHS Resettlement Network,Website and channels require verification
TC060,SEWA-AIFW,Brooklyn Center,CBO,SER,4,none/secular,South Asian immigrant/refugee communities,eligible,https://sewa-aifw.org/,MN DHS Resettlement Network,Culturally specific family services
TC061,Ukrainian American Community Center,Minneapolis,CBO,RES,4,none/secular,Ukrainian newcomers/community,eligible,https://uaccmn.org/,MN DHS Resettlement Network,Community and newcomer support
TC062,AVIVO,Minneapolis and metro,SER,RES,5,none/secular,broad population including refugees/newcomers,probably_eligible,https://avivomn.org/,MN DHS Resettlement Network,Immigrant relevance is program-specific
TC063,Afghan Cultural Society,Minneapolis,CBO,RES,4,none/secular,Afghan newcomers/community,eligible,https://www.afghanculturalsociety.org/,MN DHS Resettlement Network,Community and resettlement support
TC064,The Advocates for Human Rights,Minneapolis,LEG,ADV,2,none/secular,asylum seekers/detained immigrants/trafficking survivors,eligible,https://www.theadvocatesforhumanrights.org/,Minnesota legal-service directory,Human rights advocacy and legal representation
TC065,Volunteer Lawyers Network,Minneapolis,LEG,SER,4,none/secular,low-income immigrants and broader low-income communities,probably_eligible,https://www.vlnmn.org/,Minnesota legal-service directory,Immigration assistance is one program within broader legal aid
TC066,United Cambodian Association of Minnesota (UCAM),Mendota Heights/Twin Cities,CBO,LEG,4,none/secular,"Cambodian, Hmong and Southeast Asian immigrants/refugees",eligible,https://www.ucam.info,Minnesota resource directory,Community service and legal support
TC067,Immigrant Connection - Waite Park,Minneapolis,FAI,LEG,4,Christian,immigrants,eligible,https://www.waiteparkchurch.org/immigrant,Minnesota legal-service directory,Church-based immigration legal program
TC068,Immigrant Connection Mosaic,St. Paul,FAI,LEG,4,Christian,immigrant families,eligible,https://www.mosaicstpaul.org/learn-more,Community referral/legal-service evidence,Church-based immigration legal and citizenship services
TC069,Hmong Cultural Center,St. Paul,CBO,SER,5,none/secular,Hmong immigrants/refugees,eligible,https://www.hmongcc.org/,Community-service referrals,Citizenship and cultural education
TC070,Hmong American Partnership,St. Paul,CBO,SER,4,none/secular,Hmong and immigrant/refugee communities,eligible,https://www.hmong.org/,Major Twin Cities immigrant-serving organization,Large community-development organization
TC071,Lao Assistance Center of Minnesota,Minneapolis,CBO,SER,5,none/secular,Lao immigrants/refugees,probably_eligible,,Twin Cities culturally specific organization,Website/social audit pending
TC072,Confederation of Somali Community in Minnesota,Minneapolis,CBO,ADV,3,none/secular,Somali/East African immigrants,eligible,,Community-based immigrant-serving organization,Website/social audit pending
TC073,Center for Victims of Torture,St. Paul,SER,ADV,3,none/secular,refugees/asylum seekers/torture survivors,eligible,https://www.cvt.org/,Human-rights/service evidence,Relevant to asylum/refugee communication
TC074,COPAL - Communities Organizing Latine Power and Action,Minneapolis,ADV,CBO,1,none/secular,Latine immigrant communities,eligible,https://copalmn.org/,Immigrant Defense Network/immigrant-rights network,Key advocacy and rapid-response organization
TC075,Unidos MN,Minneapolis,ADV,CBO,1,none/secular,immigrant-led multiracial working families,eligible,https://unidos-mn.org/,Immigrant Defense Network/immigrant-rights network,Immigration-justice movement organization
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),Twin Cities,FAI,ADV,2,interfaith,immigrants/asylum seekers/detainees/families,eligible,https://mnicom.org/,Immigrant-rights/faith-network evidence,Advocacy accompaniment and direct support
TC077,ISAIAH,St. Paul,ADV,FAI,1,interfaith,broad communities including immigrants,probably_eligible,https://isaiahmn.org/,Immigrant-rights/faith-network evidence,Include if study-period immigration communication is present
TC078,Jewish Community Action,St. Paul,ADV,FAI,1,Jewish,broad justice coalition including immigrant rights,probably_eligible,https://www.jewishcommunityaction.org/,Immigrant-rights network evidence,Include if study-period immigration communication is present
TC079,Fe y Justicia MN,Twin Cities,FAI,ADV,1,faith-based,Latine immigrant communities,probably_eligible,,Immigrant-rights network evidence,Entity and channels require verification
TC080,Asamblea de Derechos Civiles,Twin Cities,ADV,CBO,1,none/secular,Latine immigrant communities,probably_eligible,,Immigrant-rights coalition evidence,Current legal/nonprofit status and channels require verification
TC081,Minnesota Immigrant Movement,Twin Cities,ADV,CBO,1,none/secular,immigrant communities,probably_eligible,,Immigrant-rights coalition evidence,Current status and channels require verification
TC082,Coalition of Asian American Leaders (CAAL),St. Paul,ADV,CBO,2,none/secular,Asian American communities including immigrants/refugees,probably_eligible,https://caalmn.org/,Twin Cities community organization,Broader AAPI organization; immigration relevance should be confirmed
TC083,Navigate MN,Twin Cities,ADV,SER,2,none/secular,immigrant students/families,probably_eligible,,Immigrant-led education/advocacy evidence,Current activity and channels require verification
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),Minneapolis,ADV,CBO,1,none/secular,immigrant communities,probably_eligible,,Grassroots immigrant-rights organization,Verify nonprofit/organizational status and active channels
